condition,global_turn_id,persona_consistency_mean,persona_consistency_sd,persona_consistency_median,persona_consistency_iqr,memory_retention_mean,memory_retention_sd,memory_retention_median,memory_retention_iqr,style_stability_mean,style_stability_sd,style_stability_median,style_stability_iqr,context_awareness_mean,context_awareness_sd,context_awareness_median,context_awareness_iqr,overall_score_mean,overall_score_sd,overall_score_median,overall_score_iqr,n,contradiction_rate,cr_wilson_lo,cr_wilson_hi
C3,4,4.9444,0.2357,5.0,0.0,5.0,0.0,5.0,0.0,4.9444,0.2357,5.0,0.0,5.0,0.0,5.0,0.0,4.9722,0.1179,5.0,0.0,18,0.0,0.0,0.1759
C3,5,4.7778,0.9428,5.0,0.0,4.9444,0.2357,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,4.9306,0.2396,5.0,0.0,18,0.0556,0.0099,0.2576
C3,6,4.6667,0.9701,5.0,0.0,5.0,0.0,5.0,0.0,4.6667,0.9701,5.0,0.0,4.6667,0.9701,5.0,0.0,4.75,0.7276,5.0,0.0,18,0.1111,0.031,0.328
C3,7,4.4444,1.2935,5.0,0.0,4.7778,0.9428,5.0,0.0,4.8889,0.3234,5.0,0.0,4.4444,1.2935,5.0,0.0,4.6389,0.867,5.0,0.0,18,0.1667,0.0584,0.3922
C3,8,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,18,0.0,0.0,0.1759
C3,9,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,18,0.0,0.0,0.1759
C3,10,4.6667,0.9701,5.0,0.0,4.7778,0.9428,5.0,0.0,4.7778,0.7321,5.0,0.0,4.6111,1.1448,5.0,0.0,4.7083,0.85,5.0,0.0,18,0.1111,0.031,0.328
C3,11,4.6667,0.9701,5.0,0.0,4.7778,0.9428,5.0,0.0,4.8889,0.3234,5.0,0.0,4.6667,0.9701,5.0,0.0,4.75,0.7475,5.0,0.0,18,0.1111,0.031,0.328
C3,12,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,18,0.0,0.0,0.1759
C3,13,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,18,0.0,0.0,0.1759
C3,14,4.6667,0.9701,5.0,0.0,5.0,0.0,5.0,0.0,4.6667,0.9701,5.0,0.0,4.6111,1.1448,5.0,0.0,4.7361,0.7692,5.0,0.0,18,0.1111,0.031,0.328
C3,15,4.8333,0.7071,5.0,0.0,4.7778,0.9428,5.0,0.0,4.9444,0.2357,5.0,0.0,4.8333,0.7071,5.0,0.0,4.8472,0.6482,5.0,0.0,18,0.0556,0.0099,0.2576
C3,16,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,18,0.0,0.0,0.1759
C3,17,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,18,0.0,0.0,0.1759
C3,18,4.2778,1.4061,5.0,0.0,4.7778,0.9428,5.0,0.0,4.3889,1.2897,5.0,0.0,4.2222,1.5168,5.0,0.0,4.4167,1.1311,5.0,0.0,18,0.2222,0.09,0.4522
C3,19,4.8333,0.7071,5.0,0.0,4.7778,0.9428,5.0,0.0,4.9444,0.2357,5.0,0.0,4.8333,0.7071,5.0,0.0,4.8472,0.6482,5.0,0.0,18,0.0556,0.0099,0.2576
C3,20,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,18,0.0,0.0,0.1759
C4,1,4.7222,0.9583,5.0,0.0,5.0,0.0,5.0,0.0,4.8333,0.3835,5.0,0.0,4.8889,0.3234,5.0,0.0,4.8611,0.366,5.0,0.0,18,0.0556,0.0099,0.2576
C4,2,4.6111,0.9785,5.0,0.0,4.7778,0.9428,5.0,0.0,4.8333,0.3835,5.0,0.0,4.6667,0.9701,5.0,0.0,4.7222,0.747,5.0,0.0,18,0.1111,0.031,0.328
C4,3,4.8333,0.7071,5.0,0.0,4.8333,0.7071,5.0,0.0,4.9444,0.2357,5.0,0.0,4.8333,0.7071,5.0,0.0,4.8611,0.5893,5.0,0.0,18,0.0556,0.0099,0.2576
C4,4,4.8333,0.7071,5.0,0.0,5.0,0.0,5.0,0.0,4.8333,0.7071,5.0,0.0,4.8333,0.7071,5.0,0.0,4.875,0.5303,5.0,0.0,18,0.0556,0.0099,0.2576
C4,5,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,4.9444,0.2357,5.0,0.0,4.9861,0.0589,5.0,0.0,18,0.0,0.0,0.1759
C4,6,4.2778,1.4061,5.0,0.0,4.7778,0.9428,5.0,0.0,4.5,1.1504,5.0,0.0,4.3333,1.2834,5.0,0.0,4.4722,1.0214,5.0,0.0,18,0.2222,0.09,0.4522
C4,7,4.6111,1.1448,5.0,0.0,5.0,0.0,5.0,0.0,4.8889,0.3234,5.0,0.0,4.6667,0.9701,5.0,0.0,4.7917,0.6079,5.0,0.0,18,0.1111,0.031,0.328
C4,8,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,18,0.0,0.0,0.1759
C4,9,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,18,0.0,0.0,0.1759
C4,10,4.3333,1.2834,5.0,0.0,4.3333,1.5339,5.0,0.0,4.6667,0.767,5.0,0.0,4.3333,1.2834,5.0,0.0,4.4167,1.1279,5.0,0.0,18,0.2222,0.09,0.4522
C4,11,4.7778,0.7321,5.0,0.0,5.0,0.0,5.0,0.0,4.8333,0.5145,5.0,0.0,4.7222,0.8264,5.0,0.0,4.8333,0.4926,5.0,0.0,18,0.0556,0.0099,0.2576
C4,12,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,18,0.0,0.0,0.1759
C4,13,4.8333,0.7071,5.0,0.0,5.0,0.0,5.0,0.0,4.9444,0.2357,5.0,0.0,4.7778,0.9428,5.0,0.0,4.8889,0.4714,5.0,0.0,18,0.0556,0.0099,0.2576
C4,14,4.7778,0.7321,5.0,0.0,5.0,0.0,5.0,0.0,4.7778,0.7321,5.0,0.0,4.6111,1.1448,5.0,0.0,4.7917,0.6431,5.0,0.0,18,0.1111,0.031,0.328
C4,15,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,18,0.0,0.0,0.1759
C4,16,4.7222,0.9583,5.0,0.0,4.7778,0.9428,5.0,0.0,4.9444,0.2357,5.0,0.0,4.7778,0.7321,5.0,0.0,4.8056,0.6617,5.0,0.0,18,0.0556,0.0099,0.2576
C4,17,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,18,0.0,0.0,0.1759
C4,18,4.4444,1.149,5.0,0.0,4.7778,0.9428,5.0,0.0,4.5556,1.149,5.0,0.0,4.3889,1.1448,5.0,0.75,4.5417,0.9206,5.0,0.1875,18,0.1667,0.0584,0.3922
C4,19,4.8333,0.7071,5.0,0.0,4.7778,0.9428,5.0,0.0,5.0,0.0,5.0,0.0,4.9444,0.2357,5.0,0.0,4.8889,0.4714,5.0,0.0,18,0.0556,0.0099,0.2576
C4,20,4.8333,0.7071,5.0,0.0,4.7778,0.9428,5.0,0.0,4.9444,0.2357,5.0,0.0,4.8333,0.7071,5.0,0.0,4.8472,0.6482,5.0,0.0,18,0.0556,0.0099,0.2576
